Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,20630,0.010224,0.015164
38344,20630,0.011934,0.014398
38344,20630,0.011585,0.010570
38344,20630,0.018178,0.023491
38344,20630,0.015884,0.011549
38344,20630,0.011392,0.015829
38344,20630,0.011771,0.011256
38344,20630,0.011753,0.013417
38344,20630,0.012921,0.011802
38344,20630,0.013157,0.013001
38344,20630,0.012159,0.013006
38344,20630,0.011189,0.014267
38344,20630,0.011941,0.011096
38344,20630,0.013217,0.012888
38344,20630,0.014015,0.011799
38344,20630,0.012257,0.011931
38344,20630,0.011171,0.011827
38344,20630,0.011661,0.010895
38344,20630,0.012624,0.011605
38344,20630,0.011946,0.010771
38344,20630,0.013017,0.013716
38344,20630,0.012752,0.010777
38344,20630,0.011608,0.010432
38344,20630,0.013421,0.017089
38344,20630,0.013487,0.014326
38344,20630,0.012860,0.010552
38344,20630,0.014701,0.012664
38344,20630,0.011338,0.012198
38344,20630,0.011041,0.011681
38344,20630,0.012200,0.010397
38344,20630,0.011013,0.012305
38344,20630,0.014171,0.012862
38344,20630,0.011940,0.010903
38344,20630,0.012711,0.010894
38344,20630,0.012658,0.012534
38344,20630,0.011400,0.011625
38344,20630,0.011976,0.010439
38344,20630,0.010832,0.011771
38344,20630,0.011397,0.011651
38344,20630,0.012656,0.012230
38344,20630,0.012195,0.011615
38344,20630,0.011688,0.010900
38344,20630,0.011978,0.010720
38344,20630,0.011231,0.011763
38344,20630,0.010953,0.011593
38344,20630,0.011769,0.010580
38344,20630,0.011469,0.011247
38344,20630,0.012640,0.010802
38344,20630,0.011004,0.011700
38344,20630,0.010865,0.011514
38344,20630,0.011074,0.012158
38344,20630,0.011524,0.013121
