Simples,Mover Para Frente,Transposição,Indexada
0.4685,0.5059,0.4582,0.1005
0.4705,0.5074,0.4602,0.1008
0.4758,0.5098,0.4604,0.101
0.4759,0.5105,0.4607,0.101
0.4767,0.5125,0.4611,0.1011
0.4799,0.5136,0.4617,0.1011
0.4847,0.5142,0.4632,0.1012
0.4915,0.5147,0.4638,0.1014
0.4936,0.5175,0.4641,0.1016
0.4937,0.5177,0.4643,0.1022
0.4948,0.5204,0.4646,0.1033
0.4951,0.5204,0.4654,0.1034
0.4977,0.5218,0.466,0.1043
0.5037,0.5225,0.466,0.1051
0.5049,0.5265,0.4681,0.1058
0.5083,0.5322,0.4699,0.106
0.5088,0.5364,0.4701,0.1067
0.515,0.5379,0.4715,0.108
0.5157,0.541,0.4729,0.1085
0.5177,0.5459,0.4738,0.1099
0.5193,0.5501,0.4747,0.1107
0.5219,0.554,0.4755,0.1118
0.5226,0.5678,0.4759,0.1122
0.5229,0.568,0.4766,0.114
0.5252,0.568,0.4786,0.1142
0.5272,0.5681,0.4813,0.1157
0.5286,0.5702,0.4828,0.1159
0.5336,0.5717,0.4841,0.1162
0.5336,0.5727,0.486,0.1164
0.5361,0.5744,0.4861,0.1166
0.5391,0.5868,0.4896,0.1172
0.5392,0.5899,0.4901,0.1175
0.5396,0.5901,0.4931,0.1185
0.5519,0.5935,0.4965,0.1191
0.552,0.5987,0.4966,0.1195
0.5521,0.6022,0.4978,0.1195
0.5557,0.6031,0.4985,0.1203
0.5572,0.6045,0.4991,0.121
0.5678,0.6102,0.5017,0.1252
0.5681,0.6105,0.502,0.1321
0.5692,0.6167,0.505,0.1358
0.5743,0.617,0.5063,0.1392
0.5769,0.6205,0.5152,0.1406
0.5916,0.6207,0.5238,0.1432
0.5954,0.6245,0.5268,0.1459
0.5997,0.6279,0.5438,0.1506
0.6097,0.6308,0.5698,0.1654
0.6121,0.6327,0.5739,0.1681
0.6248,0.6441,0.5816,0.1689
0.6318,0.6608,0.5949,0.172
