Encontrados,Tempo
35557,0.489626
35557,0.504962
35557,0.499098
35557,0.496640
35557,0.481269
35557,0.594903
35557,0.569786
35557,0.573917
35557,0.617057
35557,0.506285
35557,0.478619
35557,0.465443
35557,0.515191
35557,0.475481
35557,0.465985
35557,0.463172
35557,0.464578
35557,0.484077
35557,0.471469
35557,0.472853
35557,0.464087
35557,0.469855
35557,0.460417
35557,0.463819
35557,0.465962
35557,0.473840
35557,0.526831
35557,0.543775
35557,0.470069
35557,0.497797
35557,0.490056
35557,0.475885
35557,0.460654
35557,0.464347
35557,0.482750
35557,0.581635
35557,0.501963
35557,0.523832
35557,0.485980
35557,0.461146
35557,0.498484
35557,0.493069
35557,0.486146
35557,0.476614
35557,0.460160
35557,0.458210
35557,0.474651
35557,0.501726
35557,0.461724
35557,0.458221
35557,0.468129
35557,0.496460
